"Alpha","Beta","TAS","LatA","Main","LatB","initial number of faces","current local number of faces","final number of faces","Using less than all procs for small problem size","number of faces","Estimated number of core poly cells","final number of cells","Marked Special Edges ","Marked Special Verts ","presetSharpEdges            ","presetSharpCorners          ","presetIrregularSharpCorners ","User defined sharp edges ","Number of cells in prismatic layers","final number of polyhedral cells","Cells","Faces","Verts","Time to export (s)","angle","Relative residual","Iteration_avg","Continuity_avg","X-momentum_avg","Y-momentum_avg","Z-momentum_avg","Tke_avg","Sdr_avg","FX_Droid (N)_avg","FX_Fwd (N)_avg","FX_Main (N)_avg","FX_Rear (N)_avg","FY_Droid (N)_avg","FY_Fwd (N)_avg","FY_Main (N)_avg","FY_Rear (N)_avg","FZ_Droid (N)_avg","FZ_Fwd (N)_avg","FZ_Main (N)_avg","FZ_Rear (N)_avg","MX_Droid (N-m)_avg","MX_Fwd (N-m)_avg","MX_Main (N-m)_avg","MX_Rear (N-m)_avg","MY_Droid (N-m)_avg","MY_Fwd (N-m)_avg","MY_Main (N-m)_avg","MY_Rear (N-m)_avg","MZ_Droid (N-m)_avg","MZ_Fwd (N-m)_avg","MZ_Main (N-m)_avg","MZ_Rear (N-m)_avg","ST_Fwd_avg","ST_Main (N-m)_avg","ST_Rear (N-m)_avg","Vexit_Fwd (m/s)_avg","Vexit_Rear (m/s)_avg","Vexit_Main (m/s)_avg","MDot_Fwd (kg/s)_avg","MDot_Main (kg/s)_avg","MDot_Rear (kg/s)_avg","00_alpha_avg","00_beta_avg","00_FwdLateral_rads_avg","00_Main_rads_avg","00_TrueAirspeed_avg","00_RearLateral_rads_avg","etaProp_Fwd_avg","etaProp_Rear_avg","etaProp_Main_avg","Paero_Fwd_avg","Paero_Main_avg","Paero_Rear_avg","Pshaft_Fwd_avg","Pshaft_Main_avg","Pshaft_Rear_avg","Fx","Fy","Fz","Mx","My","Mz","Cx","Cy","Cz","Cmx","Cmy","Cmz","Aref_x","Aref_y","Aref_z","L_ref"
"0","-60","22.4","0","0","0","703238","900000","875126","13","4162","1421718","7186937","0","0","0","0","0","0","5141309","9486","5148075","20819052","10861004","21.092","0","nan","700.5","0.01236776632","0.0188195608","0.013582563800000001","0.0258470167","0.0030419431400000004","0.00000402810958","-2.6075170300000003","-0.00521772633","-1.83668067","0","30.0558045","0.5000011010000001","1.6182329000000002","0","0.844953961","-0.0025061019899999997","-0.452448072","0","0.39341026300000004","0.0198194097","0.182119258","0","-1.02753985","-0.00839255588","0.0197586804","0","0.0175039258","0.124045716","-0.589475767","0","-0.00927076781","0.0927572381","0","0","0","-6.79080104","0","0.00018708623538","0","0","-1.047198","0","0","22.4","0","0","0","56066035.11","0","0.005606603511","0","0","0","0","-4.449415426330001","32.174038501","0.38999978701","0.5953489307000001","-1.0161737254799998","-0.4479261252","-0.15668551711950437","0.5368696286569965","0.006474499009799542","0.029993027192594807","-0.024257947100353942","-0.010638270195137812","0.0924","0.195","0.196","0.699"
"0","-30","22.4","0","0","0","703238","900000","875126","13","4641","1421655","7186720","0","0","0","0","0","0","5141107","9533","5147962","20819252","10861579","18.905","0","nan","700.5","0.0681557909","0.1435243629","0.09514360910000001","0.1756088936","0.021185260299999998","0.00000729142017","-16.4705414","0.0354414867","-3.05471612","0","14.2319284","0.373906297","1.68718302","0","0.2194701135","-0.0526346195","-0.1212933354","0","-0.455469621","0.0160777095","0.23837595","0","-0.718828003","0.005198895100000001","0.20580426","0","-0.453675987","0.09197694569999999","-0.599205812","0","-0.006946347029999999","0.14608464200000001","0","0","0","-9.933884860000001","0","-0.00018159711709999997","0","0","-0.5235988","0","0","22.4","0","0","0","167627627.28","0","0.016762762728","0","0","0","0","-19.4898160333","16.293017716999998","0.045542158600000014","-0.20101596149999998","-0.5078248479","-0.9609048533","-0.6863310370325327","0.2718721919586123","0.0007560585174172755","-0.010126964018103157","-0.012122718771128022","-0.022821543299490182","0.0924","0.195","0.196","0.699"
"0","0","22.4","0","0","0","703238","900000","875126","13","4231","1421566","7186272","0","0","0","0","0","0","5141280","9195","5148012","20818176","10859963","18.742","0","nan","700.5","0.0029554642199999996","0.00795521771","0.007775583470000001","0.00728084952","0.000554852402","0.000000887499473","-6.2984808","-0.00668401033","-0.672973511","0","1.10538981","0.006193786369999999","0.28672271899999996","0","-3.3334723000000004","0.0024871558199999998","0.26884036699999997","0","0.0479624991","0.00015031711099999998","0.0510824899","0","-1.19670067","-0.0004930552199999999","0.172032554","0","-0.15541127700000001","0.0015975504800000001","-0.0840346787","0","-0.000134316025","0.0364009319","0","0","0","-3.1845520800000005","0","0.0000033646906189999997","0","0","0","0","0","22.4","0","0","0","1007788.2209000001","0","0.00010077882209","0","0","0","0","-6.97813832133","1.39830631537","-3.0621447771800003","0.099195306111","-1.02516117122","-0.23784840522000003","-0.24573412609189998","0.023332731209919213","-0.05083554911584194","0.004997350898181412","-0.024472494060053418","-0.005648912751144409","0.0924","0.195","0.196","0.699"
"0","30","22.4","0","0","0","703238","900000","875126","13","4162","1421718","7187009","0","0","0","0","0","0","5141309","8833","5147500","20815457","10858266","19.4639","0","nan","700.5","0.10416138670000001","0.225990231","0.152063621","0.277463341","0.0290601632","0.000008749266020000001","-16.0231154","0.034958219900000004","-2.45811024","0","-15.6804413","-0.368162658","-2.01743139","0","4.55770953","0.056331351300000006","0.0024745482800000006","0","0.16519899999999998","-0.0151518504","-0.017231556500000002","0","-0.2102309653","-0.00947587935","0.068606473321","0","0.530462348","-0.0902445224","0.732938347","0","0.00692300426","0.0937732129","0","0","0","-10.8215536","0","-0.0000691160803","0","0","0.5235988","0","0","22.4","0","0","0","241459122","0","0.0241459122","0","0","0","0","-18.4462674201","-18.066035348","4.616515429580001","0.1328155931","-0.15110037132899998","1.1731561726000002","-0.6495826243914029","-0.3014575148308931","0.0766401048746563","0.006691104140835751","-0.003607045451614425","0.027862523847297423","0.0924","0.195","0.196","0.699"
"0","60","22.4","0","0","0","703238","900000","875126","13","3827","1421579","7185508","0","0","0","0","0","0","5141213","8712","5147728","20816409","10858369","18.8423","0","nan","700.5","0.01137471487","0.01794532757","0.01398371734","0.0278181586","0.00336421823","0.00000167764377","-4.03909994","0.010468044000000001","-1.25800604","0","-30.3643826","-0.477749325","-1.7403435200000001","0","1.81788153","0.0006688966220000001","-0.123780158","0","-0.394148181","-0.0195575156","-0.0507516431","0","-0.180132783","0.0085031204","-0.054328365999999996","0","0.16349625199999998","-0.118432946","0.621931922","0","0.00905914402","0.0444430819","0","0","0","-6.60965838","0","0.000018948060886","0","0","1.047198","0","0","22.4","0","0","0","23088413.3561","0","0.00230884133561","0","0","0","0","-5.286637936","-32.582475445","1.6947702686219999","-0.46445733969999997","-0.2259580286","0.666995228","-0.18616818603269564","-0.5436849804335","0.028135370304059906","-0.023398852170681057","-0.005394036243251543","0.015841173477352574","0.0924","0.195","0.196","0.699"
"0","90","22.4","0","0","0","703238","900000","875126","13","4076","1421183","7185363","0","0","0","0","0","0","5141086","9640","5147708","20818529","10861818","18.0642","-0.5235987755982988","nan","700.5","0.1237973128","0.379733479","0.194341862","0.356229986","0.0462568578","0.0000068105841799999994","10.74993792","-0.0217150459","-0.970186186","0","-37.7631291","-0.425627241","-1.51593752","0","9.6994495","-0.0519016853","-0.0426443218","0","-0.47143815099999997","-0.0173896105","-0.0386370776","0","-0.86595511","0.0220354758","-0.030522401","0","1.7689560800000002","-0.10643288000000001","0.520597345","0","0.008027128540000001","0.043306241200000005","0","0","0","-3.41485352","0","0.00015280036734","0","0","1.570796","0","0","22.4","0","0","0","41141416.958000004","0","0.0041141416958","0","0","0","0","9.7580366881","-39.704693861","9.6049034929","-0.5274648391","-0.8744420352000001","2.183120545","0.3436278427719568","-0.6625293324129103","0.15945377465656585","-0.0265731009941729","-0.02087454940068211","0.05184923343307262","0.0924","0.195","0.196","0.699"
"30","-90","22.4","0","0","0","703238","900000","875126","13","4100","1420624","7179356","0","0","0","0","0","0","5141085","10234","5148047","20820810","10863552","17.9961","-0.5235987755982988","nan","700.5","0.1165286165","0.368635503","0.177085357","0.350729203","0.045908945","0.00000665239097","11.5157254","-0.029386165800000003","-0.8323492400000001","0","37.6684252","0.44852448","1.32550661","0","9.16459964","0.0502233134","-0.1104673152","0","0.515106898","0.016990977600000002","0.1051754421","0","-0.9616361929999999","-0.0193722478","0.0594879873","0","-1.43811659","0.112202164","-0.44346221999999996","0","-0.00827392941","0.0339933619","0","0","0","-3.6172125499999996","0","-0.000039022685643","0","0.5235988","-1.570796","0","0","22.4","0","0","0","40327673.3758","0","0.00403276733758","0","0","0","0","10.6539899942","39.44245629","9.104355638200001","0.6372733177","-0.9215204534999999","-1.769376646","0.37517870813967985","0.6581535252739245","0.1511440352732227","0.032105131900409416","-0.021998398356873422","-0.04202279299674728","0.0924","0.195","0.196","0.699"
"30","-60","22.4","0","0","0","703238","900000","875126","13","4818","1421392","7183179","0","0","0","0","0","0","5141228","10067","5148253","20821540","10863918","26.2702","-0.5235987755982988","nan","700.5","0.0185122827","0.026344298300000003","0.020485669199999997","0.0269516727","0.0053039004099999995","0.0000014287182270000001","-0.631444344","-0.0013818269699999999","-1.74849648","0","45.345736200000005","0.548930123","2.02810948","0","-2.8380857099999997","0.0006452788869999999","-0.683831646","0","0.319464658","0.0213404402","0.207626855","0","-0.201919553","-0.0104377382","-0.0344076327","0","-0.5053418","0.136292347","-0.743978855","0","-0.0101881364","0.0953699522","0","0","0","-6.734761069999999","0","-0.000009739077301","0","0.5235988","-1.047198","0","0","22.4","0","0","0","10269485.546699999","0","0.00102694855467","0","0","0","0","-2.38132265097","47.92277580300001","-3.5212720771129997","0.5484319532","-0.24676492390000002","-1.113028308","-0.08385793081662911","0.7996597271669659","-0.05845765391640667","0.027629401242519912","-0.005890735334021271","-0.026434483744510708","0.0924","0.195","0.196","0.699"
"30","-30","22.4","0","0","0","703238","900000","875126","13","4051","1421144","7183834","0","0","0","0","0","0","5141078","9573","5147775","20818432","10861129","nan","-0.5235987755982988","nan","48.52827658","0.23606919758099998","0.38397380400000003","0.4825974175","0.49592542700000003","0.030173705403061225","0.034264867533979594","-59.77066900408163","-0.9708459931367347","-13.994457806122448","0","86.7877698877551","0.7878981591836735","5.551139","0","-78.27458187755101","-0.5484697830510203","-5.283017724489795","0","2.052239782214286","0.026374747551020407","0.8764472280612244","0","2.25552245877551","0.16325093720408163","-0.8085714163265305","0","-3.5357130214285712","0.19233083","-2.0125333142857142","0","-0.012507250581632653","0.5709997071428571","0","0","0","-13.151047142857141","0","0.0330368438","0","0.5235988","-0.5235988","0","0","22.4","0","0","0","54111755590.81633","0","5.411175559081633","0","0","0","0","-74.73597280334081","93.12680704693878","-84.10606938509183","2.9550617578265306","1.610201979653061","-5.355915505714285","-2.6318164127415353","1.5539533315268408","-1.3962691290853089","0.1488727754227713","0.03843850068536133","-0.12720328886080506","0.0924","0.195","0.196","0.699"
"30","0","22.4","0","0","0","703238","900000","875126","13","4102","1421042","7181513","0","0","0","0","0","0","5141146","9504","5147953","20818890","10860979","nan","nan","nan","654.5","0.0279889056","0.06360403469999999","0.1000672998","0.043504635","0.013092193050000001","0.00000377064572","-10.25379363","-0.00371776797","-1.4057617","0","-5.83434583","0.00563641365","-0.417588662","0","-13.8135952","-0.00253412588","-1.3855583200000001","0","-0.33354426699999995","0.000337982872","0.0700290311","0","1.54011517","0.000460468474","-0.442913821","0","1.12879478","0.001327453595","0.0738941792","0","-0.0001317202171","0.0885548259","0","0","0","-4.5751537","0","-0.000128764636635","0","0.5235988","0","0","0","22.4","0","0","0","17929305.6373","0","0.00179293056373","0","0","0","0","-11.66327309797","-6.246298078350001","-15.20168764588","-0.26317725302799994","1.097661817474","1.204016412795","-0.41072046584977506","-0.10422837436775144","-0.25236760349309706","-0.013258581815642463","0.02620321863742847","0.028595456255146316","0.0924","0.195","0.196","0.699"
