SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
126,-30,0,12,0,-30,0,0,10,6
127,-30,0,12,0,-20,0,0,10,6
128,-30,0,12,0,-10,0,0,10,6
129,-30,0,12,0,0,0,0,10,6
130,-30,0,12,0,10,0,0,10,6
131,-30,0,12,0,20,0,0,10,6
132,-30,0,12,0,30,0,0,10,6
133,-30,30,12,0,-30,0,0,10,6
134,-30,30,12,0,-20,0,0,10,6
135,-30,30,12,0,-10,0,0,10,6
136,-30,30,12,0,0,0,0,10,6
137,-30,30,12,0,10,0,0,10,6
138,-30,30,12,0,20,0,0,10,6
139,-30,30,12,0,30,0,0,10,6
140,-30,60,12,0,-30,0,0,10,6
141,-30,60,12,0,-20,0,0,10,6
142,-30,60,12,0,-10,0,0,10,6
143,-30,60,12,0,0,0,0,10,6
144,-30,60,12,0,10,0,0,10,6
145,-30,60,12,0,20,0,0,10,6
146,-30,60,12,0,30,0,0,10,6
147,-30,90,12,0,-30,0,0,10,6
148,-30,90,12,0,-20,0,0,10,6
149,-30,90,12,0,-10,0,0,10,6
150,-30,90,12,0,0,0,0,10,6
151,-30,90,12,0,10,0,0,10,6
152,-30,90,12,0,20,0,0,10,6
153,-30,90,12,0,30,0,0,10,6
154,-15,-45,12,0,-30,0,0,10,6
155,-15,-45,12,0,-20,0,0,10,6
156,-15,-45,12,0,-10,0,0,10,6
157,-15,-45,12,0,0,0,0,10,6
158,-15,-45,12,0,10,0,0,10,6
159,-15,-45,12,0,20,0,0,10,6
160,-15,-45,12,0,30,0,0,10,6
161,-15,0,12,0,-30,0,0,10,6
162,-15,0,12,0,-20,0,0,10,6
163,-15,0,12,0,-10,0,0,10,6
164,-15,0,12,0,0,0,0,10,6
165,-15,0,12,0,10,0,0,10,6
166,-15,0,12,0,20,0,0,10,6
167,-15,0,12,0,30,0,0,10,6
168,-15,45,12,0,-30,0,0,10,6
169,-15,45,12,0,-20,0,0,10,6
170,-15,45,12,0,-10,0,0,10,6
171,-15,45,12,0,0,0,0,10,6
172,-15,45,12,0,10,0,0,10,6
173,-15,45,12,0,20,0,0,10,6
174,-15,45,12,0,30,0,0,10,6
175,0,-90,12,0,-30,0,0,10,6
176,0,-90,12,0,-20,0,0,10,6
177,0,-90,12,0,-10,0,0,10,6
178,0,-90,12,0,0,0,0,10,6
179,0,-90,12,0,10,0,0,10,6
180,0,-90,12,0,20,0,0,10,6
181,0,-90,12,0,30,0,0,10,6
182,0,-60,12,0,-30,0,0,10,6
183,0,-60,12,0,-20,0,0,10,6
184,0,-60,12,0,-10,0,0,10,6
