SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
5213,0,-75,24,0,10,0,-5625,10,6
5214,0,-75,24,0,10,0,3750,10,6
5215,0,-75,24,0,10,0,5625,10,6
5216,0,-75,24,0,10,0,7500,10,6
5217,0,-75,24,0,20,0,-7500,10,6
5218,0,-75,24,0,20,0,-5625,10,6
5219,0,-75,24,0,20,0,3750,10,6
5220,0,-75,24,0,20,0,5625,10,6
5221,0,-75,24,0,20,0,7500,10,6
5222,0,-75,24,0,30,0,-7500,10,6
5223,0,-75,24,0,30,0,-5625,10,6
5224,0,-75,24,0,30,0,3750,10,6
5225,0,-75,24,0,30,0,5625,10,6
5226,0,-75,24,0,30,0,7500,10,6
5227,0,-60,24,0,-30,0,-7500,10,6
5228,0,-60,24,0,-30,0,-5625,10,6
5229,0,-60,24,0,-30,0,3750,10,6
5230,0,-60,24,0,-30,0,5625,10,6
5231,0,-60,24,0,-30,0,7500,10,6
5232,0,-60,24,0,-20,0,-7500,10,6
5233,0,-60,24,0,-20,0,-5625,10,6
5234,0,-60,24,0,-20,0,3750,10,6
5235,0,-60,24,0,-20,0,5625,10,6
5236,0,-60,24,0,-20,0,7500,10,6
5237,0,-60,24,0,-10,0,-7500,10,6
5238,0,-60,24,0,-10,0,-5625,10,6
5239,0,-60,24,0,-10,0,3750,10,6
5240,0,-60,24,0,-10,0,5625,10,6
5241,0,-60,24,0,-10,0,7500,10,6
5242,0,-60,24,0,0,0,-7500,10,6
5243,0,-60,24,0,0,0,-5625,10,6
5244,0,-60,24,0,0,0,3750,10,6
5245,0,-60,24,0,0,0,5625,10,6
5246,0,-60,24,0,0,0,7500,10,6
5247,0,-60,24,0,10,0,-7500,10,6
5248,0,-60,24,0,10,0,-5625,10,6
5249,0,-60,24,0,10,0,3750,10,6
5250,0,-60,24,0,10,0,5625,10,6
5251,0,-60,24,0,10,0,7500,10,6
5252,0,-60,24,0,20,0,-7500,10,6
5253,0,-60,24,0,20,0,-5625,10,6
5254,0,-60,24,0,20,0,3750,10,6
5255,0,-60,24,0,20,0,5625,10,6
5256,0,-60,24,0,20,0,7500,10,6
5257,0,-60,24,0,30,0,-7500,10,6
5258,0,-60,24,0,30,0,-5625,10,6
5259,0,-60,24,0,30,0,3750,10,6
5260,0,-60,24,0,30,0,5625,10,6
5261,0,-60,24,0,30,0,7500,10,6
5262,0,-45,24,0,-30,0,-7500,10,6
5263,0,-45,24,0,-30,0,-5625,10,6
5264,0,-45,24,0,-30,0,3750,10,6
5265,0,-45,24,0,-30,0,5625,10,6
5266,0,-45,24,0,-30,0,7500,10,6
5267,0,-45,24,0,-20,0,-7500,10,6
5268,0,-45,24,0,-20,0,-5625,10,6
5269,0,-45,24,0,-20,0,3750,10,6
5270,0,-45,24,0,-20,0,5625,10,6
5271,0,-45,24,0,-20,0,7500,10,6
5272,0,-45,24,0,-10,0,-7500,10,6
5273,0,-45,24,0,-10,0,-5625,10,6
5274,0,-45,24,0,-10,0,3750,10,6
5275,0,-45,24,0,-10,0,5625,10,6
5276,0,-45,24,0,-10,0,7500,10,6
5277,0,-45,24,0,0,0,-7500,10,6
5278,0,-45,24,0,0,0,-5625,10,6
5279,0,-45,24,0,0,0,3750,10,6
5280,0,-45,24,0,0,0,5625,10,6
5281,0,-45,24,0,0,0,7500,10,6
5282,0,-45,24,0,10,0,-7500,10,6
5283,0,-45,24,0,10,0,-5625,10,6
5284,0,-45,24,0,10,0,3750,10,6
5285,0,-45,24,0,10,0,5625,10,6
5286,0,-45,24,0,10,0,7500,10,6
5287,0,-45,24,0,20,0,-7500,10,6
5288,0,-45,24,0,20,0,-5625,10,6
5289,0,-45,24,0,20,0,3750,10,6
5290,0,-45,24,0,20,0,5625,10,6
5291,0,-45,24,0,20,0,7500,10,6
5292,0,-45,24,0,30,0,-7500,10,6
5293,0,-45,24,0,30,0,-5625,10,6
5294,0,-45,24,0,30,0,3750,10,6
5295,0,-45,24,0,30,0,5625,10,6
5296,0,-45,24,0,30,0,7500,10,6
5297,0,-30,24,0,-30,0,-7500,10,6
5298,0,-30,24,0,-30,0,-5625,10,6
5299,0,-30,24,0,-30,0,3750,10,6
5300,0,-30,24,0,-30,0,5625,10,6
5301,0,-30,24,0,-30,0,7500,10,6
5302,0,-30,24,0,-20,0,-7500,10,6
5303,0,-30,24,0,-20,0,-5625,10,6
5304,0,-30,24,0,-20,0,3750,10,6
5305,0,-30,24,0,-20,0,5625,10,6
5306,0,-30,24,0,-20,0,7500,10,6
5307,0,-30,24,0,-10,0,-7500,10,6
5308,0,-30,24,0,-10,0,-5625,10,6
5309,0,-90,0,0,0,0,0,10,6
5310,0,-75,0,0,0,0,0,10,6
5311,0,-60,0,0,0,0,0,10,6
5312,0,-45,0,0,0,0,0,10,6
5313,0,-30,0,0,0,0,0,10,6
5314,0,-15,0,0,0,0,0,10,6
5315,0,0,0,0,0,0,0,10,6
5316,0,15,0,0,0,0,0,10,6
5317,0,30,0,0,0,0,0,10,6
5318,0,45,0,0,0,0,0,10,6
5319,0,60,0,0,0,0,0,10,6
5320,0,75,0,0,0,0,0,10,6
5321,0,90,0,0,0,0,0,10,6
5322,0,-30,24,0,-10,0,3750,10,6
5323,0,-30,24,0,-10,0,5625,10,6
5324,0,-30,24,0,-10,0,7500,10,6
5325,0,-30,24,0,0,0,-7500,10,6
5326,0,-30,24,0,0,0,-5625,10,6
5327,0,-30,24,0,0,0,3750,10,6
5328,0,-30,24,0,0,0,5625,10,6
5329,0,-30,24,0,0,0,7500,10,6
5330,0,-30,24,0,10,0,-7500,10,6
5331,0,-30,24,0,10,0,-5625,10,6
5332,0,-30,24,0,10,0,3750,10,6
5333,0,-30,24,0,10,0,5625,10,6
5334,0,-30,24,0,10,0,7500,10,6
5335,0,-30,24,0,20,0,-7500,10,6
5336,0,-30,24,0,20,0,-5625,10,6
5337,0,-30,24,0,20,0,3750,10,6
5338,0,-30,24,0,20,0,5625,10,6
5339,0,-30,24,0,20,0,7500,10,6
5340,0,-30,24,0,30,0,-7500,10,6
5341,0,-30,24,0,30,0,-5625,10,6
5342,0,-30,24,0,30,0,3750,10,6
5343,0,-30,24,0,30,0,5625,10,6
5344,0,-30,24,0,30,0,7500,10,6
5345,0,-15,24,0,-30,0,-7500,10,6
5346,0,-15,24,0,-30,0,-5625,10,6
5347,0,-15,24,0,-30,0,3750,10,6
5348,0,-15,24,0,-30,0,5625,10,6
5349,0,-15,24,0,-30,0,7500,10,6
5350,0,-15,24,0,-20,0,-7500,10,6
5351,0,-15,24,0,-20,0,-5625,10,6
5352,0,-15,24,0,-20,0,3750,10,6
5353,0,-15,24,0,-20,0,5625,10,6
5354,0,-15,24,0,-20,0,7500,10,6
5355,0,-15,24,0,-10,0,-7500,10,6
5356,0,-15,24,0,-10,0,-5625,10,6
5357,0,-15,24,0,-10,0,3750,10,6
5358,0,-15,24,0,-10,0,5625,10,6
5359,0,-15,24,0,-10,0,7500,10,6
5360,0,-15,24,0,0,0,-7500,10,6
5361,0,-15,24,0,0,0,-5625,10,6
5362,0,-15,24,0,0,0,3750,10,6
5363,0,-15,24,0,0,0,5625,10,6
5364,0,-15,24,0,0,0,7500,10,6
5365,0,-15,24,0,10,0,-7500,10,6
5366,0,-15,24,0,10,0,-5625,10,6
5367,0,-15,24,0,10,0,3750,10,6
5368,0,-15,24,0,10,0,5625,10,6
5369,0,-15,24,0,10,0,7500,10,6
5370,0,-15,24,0,20,0,-7500,10,6
5371,0,-15,24,0,20,0,-5625,10,6
5372,0,-15,24,0,20,0,3750,10,6
5373,0,-15,24,0,20,0,5625,10,6
5374,0,-15,24,0,20,0,7500,10,6
5375,0,-15,24,0,30,0,-7500,10,6
5376,0,-15,24,0,30,0,-5625,10,6
5377,0,-15,24,0,30,0,3750,10,6
5378,0,-15,24,0,30,0,5625,10,6
5379,0,-15,24,0,30,0,7500,10,6
5380,0,0,24,0,-30,0,-7500,10,6
5381,0,0,24,0,-30,0,-5625,10,6
5382,0,0,24,0,-30,0,3750,10,6
5383,0,0,24,0,-30,0,5625,10,6
5384,0,0,24,0,-30,0,7500,10,6
5385,0,0,24,0,-20,0,-7500,10,6
5386,0,0,24,0,-20,0,-5625,10,6
5387,0,0,24,0,-20,0,3750,10,6
5388,0,0,24,0,-20,0,5625,10,6
5389,0,0,24,0,-20,0,7500,10,6
5390,0,0,24,0,-10,0,-7500,10,6
5391,0,0,24,0,-10,0,-5625,10,6
5392,0,0,24,0,-10,0,3750,10,6
5393,0,0,24,0,-10,0,5625,10,6
5394,0,0,24,0,-10,0,7500,10,6
5395,0,0,24,0,0,0,-7500,10,6
5396,0,0,24,0,0,0,-5625,10,6
5397,0,0,24,0,0,0,3750,10,6
5398,0,0,24,0,0,0,5625,10,6
5399,0,0,24,0,0,0,7500,10,6
5400,0,0,24,0,10,0,-7500,10,6
5401,0,0,24,0,10,0,-5625,10,6
5402,0,0,24,0,10,0,3750,10,6
5403,0,0,24,0,10,0,5625,10,6
5404,0,0,24,0,10,0,7500,10,6
5405,0,0,24,0,20,0,-7500,10,6
5406,0,0,24,0,20,0,-5625,10,6
5407,0,0,24,0,20,0,3750,10,6
5408,0,0,24,0,20,0,5625,10,6
5409,0,0,24,0,20,0,7500,10,6
5410,0,0,24,0,30,0,-7500,10,6
5411,0,0,24,0,30,0,-5625,10,6
5412,0,0,24,0,30,0,3750,10,6
5413,0,0,24,0,30,0,5625,10,6
5414,0,0,24,0,30,0,7500,10,6
5415,0,15,24,0,-30,0,-7500,10,6
5416,0,15,24,0,-30,0,-5625,10,6
5417,0,15,24,0,-30,0,3750,10,6
5418,0,15,24,0,-30,0,5625,10,6
5419,0,15,24,0,-30,0,7500,10,6
5420,0,15,24,0,-20,0,-7500,10,6
5421,0,15,24,0,-20,0,-5625,10,6
5422,0,15,24,0,-20,0,3750,10,6
5423,0,15,24,0,-20,0,5625,10,6
5424,0,15,24,0,-20,0,7500,10,6
5425,0,15,24,0,-10,0,-7500,10,6
5426,0,15,24,0,-10,0,-5625,10,6
5427,0,15,24,0,-10,0,3750,10,6
5428,0,15,24,0,-10,0,5625,10,6
5429,0,15,24,0,-10,0,7500,10,6
5430,0,15,24,0,0,0,-7500,10,6
5431,0,15,24,0,0,0,-5625,10,6
5432,0,15,24,0,0,0,3750,10,6
5433,0,15,24,0,0,0,5625,10,6
5434,0,15,24,0,0,0,7500,10,6
5435,0,15,24,0,10,0,-7500,10,6
5436,0,15,24,0,10,0,-5625,10,6
5437,0,15,24,0,10,0,3750,10,6
5438,0,15,24,0,10,0,5625,10,6
5439,0,15,24,0,10,0,7500,10,6
5440,0,15,24,0,20,0,-7500,10,6
5441,0,15,24,0,20,0,-5625,10,6
5442,0,15,24,0,20,0,3750,10,6
5443,0,15,24,0,20,0,5625,10,6
5444,0,15,24,0,20,0,7500,10,6
5445,0,15,24,0,30,0,-7500,10,6
5446,0,15,24,0,30,0,-5625,10,6
5447,0,15,24,0,30,0,3750,10,6
5448,0,15,24,0,30,0,5625,10,6
5449,0,15,24,0,30,0,7500,10,6
5450,0,30,24,0,-30,0,-7500,10,6
5451,0,30,24,0,-30,0,-5625,10,6
5452,0,30,24,0,-30,0,3750,10,6
5453,0,30,24,0,-30,0,5625,10,6
5454,0,30,24,0,-30,0,7500,10,6
5455,0,30,24,0,-20,0,-7500,10,6
5456,0,30,24,0,-20,0,-5625,10,6
5457,0,30,24,0,-20,0,3750,10,6
5458,0,30,24,0,-20,0,5625,10,6
5459,0,30,24,0,-20,0,7500,10,6
5460,0,30,24,0,-10,0,-7500,10,6
5461,0,30,24,0,-10,0,-5625,10,6
5462,0,30,24,0,-10,0,3750,10,6
5463,0,30,24,0,-10,0,5625,10,6
5464,0,30,24,0,-10,0,7500,10,6
5465,0,30,24,0,0,0,-7500,10,6
5466,0,30,24,0,0,0,-5625,10,6
5467,0,30,24,0,0,0,3750,10,6
5468,0,30,24,0,0,0,5625,10,6
5469,0,30,24,0,0,0,7500,10,6
5470,0,30,24,0,10,0,-7500,10,6
5471,0,30,24,0,10,0,-5625,10,6
5472,0,30,24,0,10,0,3750,10,6
5473,0,30,24,0,10,0,5625,10,6
5474,0,30,24,0,10,0,7500,10,6
5475,0,30,24,0,20,0,-7500,10,6
5476,0,30,24,0,20,0,-5625,10,6
5477,0,30,24,0,20,0,3750,10,6
5478,0,30,24,0,20,0,5625,10,6
5479,0,30,24,0,20,0,7500,10,6
5480,0,30,24,0,30,0,-7500,10,6
5481,0,30,24,0,30,0,-5625,10,6
5482,0,30,24,0,30,0,3750,10,6
5483,0,30,24,0,30,0,5625,10,6
5484,0,30,24,0,30,0,7500,10,6
5485,0,45,24,0,-30,0,-7500,10,6
5486,0,45,24,0,-30,0,-5625,10,6
5487,0,45,24,0,-30,0,3750,10,6
5488,0,45,24,0,-30,0,5625,10,6
5489,0,45,24,0,-30,0,7500,10,6
5490,0,45,24,0,-20,0,-7500,10,6
5491,0,45,24,0,-20,0,-5625,10,6
5492,0,45,24,0,-20,0,3750,10,6
5493,0,45,24,0,-20,0,5625,10,6
5494,0,45,24,0,-20,0,7500,10,6
5495,0,45,24,0,-10,0,-7500,10,6
5496,0,45,24,0,-10,0,-5625,10,6
5497,0,45,24,0,-10,0,3750,10,6
5498,0,45,24,0,-10,0,5625,10,6
5499,0,45,24,0,-10,0,7500,10,6
5500,0,45,24,0,0,0,-7500,10,6
5501,0,45,24,0,0,0,-5625,10,6
5502,0,45,24,0,0,0,3750,10,6
5503,0,45,24,0,0,0,5625,10,6
5504,0,45,24,0,0,0,7500,10,6
5505,0,45,24,0,10,0,-7500,10,6
5506,0,45,24,0,10,0,-5625,10,6
5507,0,45,24,0,10,0,3750,10,6
5508,0,45,24,0,10,0,5625,10,6
5509,0,45,24,0,10,0,7500,10,6
5510,0,45,24,0,20,0,-7500,10,6
5511,0,45,24,0,20,0,-5625,10,6
5512,0,45,24,0,20,0,3750,10,6
5513,0,45,24,0,20,0,5625,10,6
5514,0,45,24,0,20,0,7500,10,6
5515,0,45,24,0,30,0,-7500,10,6
5516,0,45,24,0,30,0,-5625,10,6
5517,0,45,24,0,30,0,3750,10,6
5518,0,45,24,0,30,0,5625,10,6
5519,0,45,24,0,30,0,7500,10,6
5520,0,60,24,0,-30,0,-7500,10,6
5521,0,60,24,0,-30,0,-5625,10,6
5522,0,60,24,0,-30,0,3750,10,6
5523,0,60,24,0,-30,0,5625,10,6
5524,0,60,24,0,-30,0,7500,10,6
5525,0,60,24,0,-20,0,-7500,10,6
5526,0,60,24,0,-20,0,-5625,10,6
5527,0,60,24,0,-20,0,3750,10,6
5528,0,60,24,0,-20,0,5625,10,6
5529,0,60,24,0,-20,0,7500,10,6
5530,0,60,24,0,-10,0,-7500,10,6
5531,0,60,24,0,-10,0,-5625,10,6
5532,0,60,24,0,-10,0,3750,10,6
5533,0,60,24,0,-10,0,5625,10,6
5534,0,60,24,0,-10,0,7500,10,6
5535,0,60,24,0,0,0,-7500,10,6
5536,0,60,24,0,0,0,-5625,10,6
5537,0,60,24,0,0,0,3750,10,6
5538,0,60,24,0,0,0,5625,10,6
5539,0,60,24,0,0,0,7500,10,6
5540,0,60,24,0,10,0,-7500,10,6
5541,0,60,24,0,10,0,-5625,10,6
5542,0,60,24,0,10,0,3750,10,6
5543,0,60,24,0,10,0,5625,10,6
5544,0,60,24,0,10,0,7500,10,6
5545,0,60,24,0,20,0,-7500,10,6
5546,0,60,24,0,20,0,-5625,10,6
5547,0,60,24,0,20,0,3750,10,6
5548,0,60,24,0,20,0,5625,10,6
5549,0,60,24,0,20,0,7500,10,6
5550,0,60,24,0,30,0,-7500,10,6
5551,0,60,24,0,30,0,-5625,10,6
5552,0,60,24,0,30,0,3750,10,6
5553,0,60,24,0,30,0,5625,10,6
5554,0,60,24,0,30,0,7500,10,6
5555,0,75,24,0,-30,0,-7500,10,6
5556,0,75,24,0,-30,0,-5625,10,6
5557,0,75,24,0,-30,0,3750,10,6
5558,0,75,24,0,-30,0,5625,10,6
5559,0,75,24,0,-30,0,7500,10,6
5560,0,75,24,0,-20,0,-7500,10,6
5561,0,75,24,0,-20,0,-5625,10,6
5562,0,75,24,0,-20,0,3750,10,6
5563,0,75,24,0,-20,0,5625,10,6
5564,0,75,24,0,-20,0,7500,10,6
5565,0,75,24,0,-10,0,-7500,10,6
5566,0,75,24,0,-10,0,-5625,10,6
5567,0,75,24,0,-10,0,3750,10,6
5568,0,75,24,0,-10,0,5625,10,6
5569,0,75,24,0,-10,0,7500,10,6
5570,0,75,24,0,0,0,-7500,10,6
5571,0,75,24,0,0,0,-5625,10,6
5572,0,75,24,0,0,0,3750,10,6
5573,0,75,24,0,0,0,5625,10,6
5574,0,75,24,0,0,0,7500,10,6
5575,0,75,24,0,10,0,-7500,10,6
5576,0,75,24,0,10,0,-5625,10,6
