SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
3808,0,-30,24,0,0,7500,5625,10,6
3809,0,-30,24,0,0,7500,7500,10,6
3810,0,-30,24,0,0,11250,-7500,10,6
3811,0,-30,24,0,0,11250,-5625,10,6
3812,0,-30,24,0,0,11250,3750,10,6
3813,0,-30,24,0,0,11250,5625,10,6
3814,0,-30,24,0,0,11250,7500,10,6
3815,0,-30,24,0,0,15000,-7500,10,6
3816,0,-30,24,0,0,15000,-5625,10,6
3817,0,-30,24,0,0,15000,3750,10,6
3818,0,-30,24,0,0,15000,5625,10,6
3819,0,-30,24,0,0,15000,7500,10,6
3820,0,-15,24,0,0,-15000,-7500,10,6
3821,0,-15,24,0,0,-15000,-5625,10,6
3822,0,-15,24,0,0,-15000,3750,10,6
3823,0,-15,24,0,0,-15000,5625,10,6
3824,0,-15,24,0,0,-15000,7500,10,6
3825,0,-15,24,0,0,-11250,-7500,10,6
3826,0,-15,24,0,0,-11250,-5625,10,6
3827,0,-15,24,0,0,-11250,3750,10,6
3828,0,-15,24,0,0,-11250,5625,10,6
3829,0,-15,24,0,0,-11250,7500,10,6
3830,0,-15,24,0,0,7500,-7500,10,6
3831,0,-15,24,0,0,7500,-5625,10,6
3832,0,-15,24,0,0,7500,3750,10,6
3833,0,-15,24,0,0,7500,5625,10,6
3834,0,-15,24,0,0,7500,7500,10,6
3835,0,-15,24,0,0,11250,-7500,10,6
3836,0,-15,24,0,0,11250,-5625,10,6
3837,0,-15,24,0,0,11250,3750,10,6
3838,0,-15,24,0,0,11250,5625,10,6
3839,0,-15,24,0,0,11250,7500,10,6
3840,0,-15,24,0,0,15000,-7500,10,6
3841,0,-15,24,0,0,15000,-5625,10,6
3842,0,-15,24,0,0,15000,3750,10,6
3843,0,-15,24,0,0,15000,5625,10,6
3844,0,-15,24,0,0,15000,7500,10,6
3845,0,0,24,0,0,-15000,-7500,10,6
3846,0,0,24,0,0,-15000,-5625,10,6
3847,0,0,24,0,0,-15000,3750,10,6
3848,0,0,24,0,0,-15000,5625,10,6
3849,0,0,24,0,0,-15000,7500,10,6
3850,0,0,24,0,0,-11250,-7500,10,6
3851,0,0,24,0,0,-11250,-5625,10,6
3852,0,0,24,0,0,-11250,3750,10,6
3853,0,0,24,0,0,-11250,5625,10,6
3854,0,0,24,0,0,-11250,7500,10,6
3855,0,0,24,0,0,7500,-7500,10,6
3856,0,0,24,0,0,7500,-5625,10,6
3857,0,0,24,0,0,7500,3750,10,6
3858,0,0,24,0,0,7500,5625,10,6
3859,0,0,24,0,0,7500,7500,10,6
3860,0,0,24,0,0,11250,-7500,10,6
3861,0,0,24,0,0,11250,-5625,10,6
3862,0,0,24,0,0,11250,3750,10,6
3863,0,0,24,0,0,11250,5625,10,6
3864,0,0,24,0,0,11250,7500,10,6
3865,0,0,24,0,0,15000,-7500,10,6
3866,0,0,24,0,0,15000,-5625,10,6
3867,0,0,24,0,0,15000,3750,10,6
3868,0,0,24,0,0,15000,5625,10,6
3869,0,0,24,0,0,15000,7500,10,6
3870,0,15,24,0,0,-15000,-7500,10,6
3871,0,15,24,0,0,-15000,-5625,10,6
3872,0,15,24,0,0,-15000,3750,10,6
3873,0,15,24,0,0,-15000,5625,10,6
3874,0,15,24,0,0,-15000,7500,10,6
3875,0,15,24,0,0,-11250,-7500,10,6
3876,0,15,24,0,0,-11250,-5625,10,6
3877,0,15,24,0,0,-11250,3750,10,6
3878,0,15,24,0,0,-11250,5625,10,6
3879,0,15,24,0,0,-11250,7500,10,6
3880,0,15,24,0,0,7500,-7500,10,6
3881,0,15,24,0,0,7500,-5625,10,6
3882,0,15,24,0,0,7500,3750,10,6
3883,0,15,24,0,0,7500,5625,10,6
3884,0,15,24,0,0,7500,7500,10,6
3885,0,15,24,0,0,11250,-7500,10,6
3886,0,15,24,0,0,11250,-5625,10,6
3887,0,15,24,0,0,11250,3750,10,6
3888,0,15,24,0,0,11250,5625,10,6
3889,0,15,24,0,0,11250,7500,10,6
3890,0,15,24,0,0,15000,-7500,10,6
3891,0,15,24,0,0,15000,-5625,10,6
3892,0,15,24,0,0,15000,3750,10,6
3893,0,15,24,0,0,15000,5625,10,6
3894,0,15,24,0,0,15000,7500,10,6
3895,0,30,24,0,0,-15000,-7500,10,6
3896,0,30,24,0,0,-15000,-5625,10,6
3897,0,30,24,0,0,-15000,3750,10,6
3898,0,30,24,0,0,-15000,5625,10,6
3899,0,30,24,0,0,-15000,7500,10,6
3900,0,30,24,0,0,-11250,-7500,10,6
3901,0,30,24,0,0,-11250,-5625,10,6
3902,0,30,24,0,0,-11250,3750,10,6
